typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,20160101,2016,52,2016,4,AFG,Afghanistan,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29729947.0,False,-1,,,False,29729947.0,False,,False,5232162.0,,5232162.0,0,True,False,
A,20160101,2016,52,2016,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1805205.0,False,-1,,,False,1805205.0,False,,False,914976.0,,914976.0,0,True,False,
A,20160101,2016,52,2016,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4478174.0,False,-1,,,False,4478174.0,False,,False,2256898.0,,2256898.0,0,True,False,
A,20160101,2016,52,2016,4,AFG,Afghanistan,X,Export,0,W00,World,0,W00,World,H2,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7585439.0,False,-1,,,False,7585439.0,False,,False,,33860955.0,33860955.0,0,True,False,
A,20160101,2016,52,2016,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8400.0,False,-1,,,False,8400.0,False,,False,16891.0,,16891.0,0,True,False,
A,20160101,2016,52,2016,8,ALB,Albania,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,251880.0,False,-1,,,False,251880.0,False,,False,,262562.0,262562.0,0,True,False,
A,20160101,2016,52,2016,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,54150.0,False,-1,,,False,54150.0,False,,False,169845.0,,169845.0,0,True,False,
A,20160101,2016,52,2016,12,DZA,Algeria,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11266.0,False,-1,,,False,11266.0,False,,False,,10971.0,10971.0,0,True,False,
A,20160101,2016,52,2016,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3398.35,False,8,kg,3398.35,False,3398.35,False,0.0,False,10554.019,,10554.019,0,False,True,
A,20160101,2016,52,2016,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31786.0,False,8,kg,31786.0,False,28734.0,False,,False,84347.16,77078.37,84347.16,0,False,True,
A,20160101,2016,52,2016,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H3,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2217.0,False,-1,,,False,2217.0,False,,False,5094.0,,5094.0,0,True,False,
A,20160101,2016,52,2016,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51022.64,False,8,kg,51022.64,False,51022.64,False,0.0,False,81037.61,,81037.61,0,False,True,
A,20160101,2016,52,2016,31,AZE,Azerbaijan,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,20.0,False,0.0,False,,292.51,292.51,0,False,True,
A,20160101,2016,52,2016,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,122500.0,False,8,kg,122500.0,False,122500.0,False,,False,502209.33,493188.08,502209.33,0,False,True,
A,20160101,2016,52,2016,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91302.0,False,8,kg,91302.0,False,91302.0,False,,False,,397417.43,397417.43,0,False,True,
A,20160101,2016,52,2016,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2481031.0,False,-1,,,False,2481031.0,False,,False,,8249206.0,8249206.0,0,True,False,
A,20160101,2016,52,2016,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7762.0,False,-1,,,False,7762.0,False,,False,,66998.0,66998.0,0,True,False,
A,20160101,2016,52,2016,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4703148.042,True,-1,,0.0,False,4703148.042,True,,False,17928578.535,,17928578.535,0,False,True,
A,20160101,2016,52,2016,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3373896.873,True,-1,,0.0,False,3373896.873,True,,False,,14726214.117,14726214.117,0,False,True,
A,20160101,2016,52,2016,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3628.736,False,8,kg,3628.736,False,3628.736,False,0.0,False,67257.0,,67257.0,0,False,True,
A,20160101,2016,52,2016,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,491637.395,True,-1,,0.0,False,537902.395,True,,False,738457.855,,738457.855,0,False,True,
A,20160101,2016,52,2016,48,BHR,Bahrain,RX,Re-export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3000.0,False,8,kg,3000.0,False,3000.0,False,,False,,1595.742,1595.742,0,False,True,
A,20160101,2016,52,2016,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H4,HS,True,80420,"Fruit, edible; figs, fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3300.0,False,8,kg,3300.0,False,3300.0,False,,False,,2659.57,2659.57,0,False,True,
