typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,19960101,1996,52,1996,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11734212.0,False,-1,,,False,11734212.0,False,,False,4885398.0,,4885398.0,0,False,False,
A,19960101,1996,52,1996,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6614291.0,False,-1,,,False,6614291.0,False,,False,10312842.0,,10312842.0,0,False,False,
A,19960101,1996,52,1996,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,287546.0,False,-1,,,False,287546.0,False,,False,229783.0,,229783.0,0,False,False,
A,19960101,1996,52,1996,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,746616.0,False,-1,,,False,746616.0,False,,False,177149.0,,177149.0,0,True,False,
A,19960101,1996,52,1996,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,248376048.0,False,-1,,,False,248376048.0,False,,False,72547544.0,,72547544.0,0,False,False,
A,19960101,1996,52,1996,32,ARG,Argentina,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37691.0,False,-1,,,False,37691.0,False,,False,,13631.0,13631.0,0,False,False,
A,19960101,1996,52,1996,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33648.0,False,-1,,,False,33648.0,False,,False,,50466.0,50466.0,0,False,False,
A,19960101,1996,52,1996,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,603845.0,False,-1,,,False,603845.0,False,,False,,589494.0,589494.0,0,False,False,
A,19960101,1996,52,1996,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,97276048.0,False,-1,,,False,97276048.0,False,,False,80761352.0,,80761352.0,0,False,False,
A,19960101,1996,52,1996,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19329448.0,False,-1,,,False,19329448.0,False,,False,,17155596.0,17155596.0,0,False,False,
A,19960101,1996,52,1996,50,BGD,Bangladesh,M,Import,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2625.0,False,-1,,,False,2625.0,False,,False,1921.0,,1921.0,0,True,False,
A,19960101,1996,52,1996,58,BEL,Belgium-Luxembourg (...1998),M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,374354720.0,False,-1,,,False,374354720.0,False,,False,329442080.0,,329442080.0,0,False,False,
A,19960101,1996,52,1996,58,BEL,Belgium-Luxembourg (...1998),X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,85001096.0,False,-1,,,False,85001096.0,False,,False,,69833048.0,69833048.0,0,False,False,
A,19960101,1996,52,1996,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2356221.0,False,-1,,,False,2356221.0,False,,False,,376690.0,376690.0,0,True,False,
A,19960101,1996,52,1996,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H0,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36000.0,False,-1,,,False,36000.0,False,,False,39246.0,,39246.0,0,True,False,
