typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,20040101,2004,52,2004,8,ALB,Albania,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17156160.0,False,-1,,,False,17156160.0,False,,False,8962649.0,,8962649.0,0,True,False,
A,20040101,2004,52,2004,12,DZA,Algeria,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,204620526.0,False,-1,,,False,204620526.0,False,,False,83893979.0,,83893979.0,0,True,False,
A,20040101,2004,52,2004,20,AND,Andorra,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,125048.0,False,-1,,,False,125048.0,False,,False,125852.0,,125852.0,0,True,False,
A,20040101,2004,52,2004,24,AGO,Angola,DX,Domestic Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,519.29,False,8,kg,519.29,False,519.29,False,0.0,False,,138.085,138.085,0,False,True,
A,20040101,2004,52,2004,24,AGO,Angola,FM,Foreign Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,8,kg,222023.0,False,,False,0.0,False,79366.601,66058.749,79366.601,0,False,True,
A,20040101,2004,52,2004,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,8,kg,222023.0,False,,False,0.0,False,79366.601,66058.749,79366.601,0,False,True,
A,20040101,2004,52,2004,24,AGO,Angola,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,519.29,False,8,kg,519.29,False,519.29,False,0.0,False,,138.085,138.085,0,False,True,
A,20040101,2004,52,2004,31,AZE,Azerbaijan,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4687293.0,False,-1,,,False,4687293.0,False,,False,1312457.0,,1312457.0,0,True,False,
A,20040101,2004,52,2004,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,303373211.0,False,-1,,,False,303373211.0,False,,False,53662416.0,,53662416.0,0,True,False,
A,20040101,2004,52,2004,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,166562.0,False,-1,,,False,166562.0,False,,False,,59611.0,59611.0,0,True,False,
A,20040101,2004,52,2004,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12444.0,False,-1,,,False,12444.0,False,,False,,19552.0,19552.0,0,True,False,
A,20040101,2004,52,2004,40,AUT,Austria,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,90391426.0,True,-1,,,False,90391426.0,True,,False,86611151.0,,86611151.0,6,True,False,
A,20040101,2004,52,2004,40,AUT,Austria,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7317857.0,True,-1,,,False,7317857.0,True,,False,,6052677.0,6052677.0,6,True,False,
A,20040101,2004,52,2004,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3670585.0,False,-1,,,False,3670585.0,False,,False,2855117.0,,2855117.0,0,True,False,
A,20040101,2004,52,2004,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11349875.0,False,-1,,,False,11349875.0,False,,False,5413589.0,,5413589.0,0,True,False,
A,20040101,2004,52,2004,48,BHR,Bahrain,RX,Re-export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1369805.0,False,-1,,,False,1369805.0,False,,False,,,280819.0,0,True,False,
A,20040101,2004,52,2004,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1369805.0,False,-1,,,False,1369805.0,False,,False,,280819.0,280819.0,0,True,False,
A,20040101,2004,52,2004,50,BGD,Bangladesh,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,850.0,False,-1,,,False,850.0,False,,False,,1434.0,1434.0,0,True,False,
A,20040101,2004,52,2004,51,ARM,Armenia,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4033715.0,False,-1,,,False,4033715.0,False,,False,1836699.0,,1836699.0,0,True,False,
A,20040101,2004,52,2004,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4173475.0,False,-1,,,False,4173475.0,False,,False,1394911.0,,1394911.0,0,False,False,
A,20040101,2004,52,2004,52,BRB,Barbados,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,65.0,False,-1,,,False,65.0,False,,False,,23.0,23.0,0,False,False,
A,20040101,2004,52,2004,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1028053154.0,False,-1,,,False,1028053154.0,False,,False,1131725418.0,,1131725418.0,0,True,False,
A,20040101,2004,52,2004,56,BEL,Belgium,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,922288022.0,False,-1,,,False,922288022.0,False,,False,,887026791.0,887026791.0,0,True,False,
A,20040101,2004,52,2004,68,BOL,Bolivia (Plurinational State of),DX,Domestic Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42730341.32,False,8,kg,42730341.32,False,42730341.32,False,45860918.61,False,0.0,5808510.14,5808510.14,0,False,True,
A,20040101,2004,52,2004,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42730341.32,False,8,kg,42730341.32,False,42730341.32,False,45860918.61,False,0.0,5808510.14,5808510.14,0,False,True,
A,20040101,2004,52,2004,70,BIH,Bosnia Herzegovina,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46571639.0,False,-1,,,False,46571639.0,False,,False,16581872.0,,16581872.0,0,True,False,
A,20040101,2004,52,2004,70,BIH,Bosnia Herzegovina,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,335710.0,False,-1,,,False,335710.0,False,,False,,101211.0,101211.0,0,True,False,
A,20040101,2004,52,2004,72,BWA,Botswana,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3376958.0,True,-1,,,False,3376958.0,True,,False,2286803.0,,2286803.0,6,False,False,
A,20040101,2004,52,2004,72,BWA,Botswana,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1529.0,False,-1,,,False,1529.0,False,,False,,564.0,564.0,0,False,False,
A,20040101,2004,52,2004,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13281.0,False,8,kg,13281.0,False,13331.0,False,0.0,False,36020.0,23140.0,36020.0,0,False,True,
A,20040101,2004,52,2004,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,8,kg,73751623.0,False,188042262.0,False,0.0,False,,26979203.0,26979203.0,0,False,True,
A,20040101,2004,52,2004,84,BLZ,Belize,DX,Domestic Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180861191.0,False,8,kg,180861191.0,False,180861191.0,False,0.0,False,0.0,26183425.0,26183425.0,0,False,True,
A,20040101,2004,52,2004,84,BLZ,Belize,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1948670.0,False,8,kg,1948670.0,False,1948670.0,False,0.0,False,312211.0,0.0,312211.0,0,False,True,
A,20040101,2004,52,2004,84,BLZ,Belize,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,180861191.0,False,8,kg,180861191.0,False,180861191.0,False,0.0,False,0.0,26183425.0,26183425.0,0,False,True,
A,20040101,2004,52,2004,96,BRN,Brunei Darussalam,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1241255.0,True,-1,,,False,1241255.0,True,,False,677920.0,,677920.0,6,True,False,
A,20040101,2004,52,2004,100,BGR,Bulgaria,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49969789.0,False,-1,,,False,49969789.0,False,,False,13452396.0,,13452396.0,0,True,False,
A,20040101,2004,52,2004,100,BGR,Bulgaria,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43400.0,False,-1,,,False,43400.0,False,,False,,34323.0,34323.0,0,True,False,
A,20040101,2004,52,2004,112,BLR,Belarus,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25891290.0,False,-1,,,False,25891290.0,False,,False,11594500.0,,11594500.0,0,True,False,
A,20040101,2004,52,2004,112,BLR,Belarus,X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2428284.0,False,-1,,,False,2428284.0,False,,False,,1338900.0,1338900.0,0,True,False,
A,20040101,2004,52,2004,120,CMR,Cameroon,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36046.0,False,-1,,,False,36046.0,False,,False,7103.0,,7103.0,0,False,False,
A,20040101,2004,52,2004,120,CMR,Cameroon,X,Export,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,294885624.0,False,-1,,,False,294885624.0,False,,False,,74796376.0,74796376.0,0,False,False,
A,20040101,2004,52,2004,24,AGO,Angola,FM,Foreign Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,4087.0,False,8,kg,4087.0,False,4087.0,False,0.0,False,11256.295,4127.797,11256.295,0,False,True,
A,20040101,2004,52,2004,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,4087.0,False,8,kg,4087.0,False,4087.0,False,0.0,False,11256.295,4127.797,11256.295,0,False,True,
A,20040101,2004,52,2004,68,BOL,Bolivia (Plurinational State of),DX,Domestic Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,17458.32,False,8,kg,17458.32,False,17458.32,False,18279.32,False,0.0,4151.75,4151.75,0,False,True,
A,20040101,2004,52,2004,68,BOL,Bolivia (Plurinational State of),X,Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,17458.32,False,8,kg,17458.32,False,17458.32,False,18279.32,False,0.0,4151.75,4151.75,0,False,True,
