typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
A,20120101,2012,52,2012,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,619.0,False,-1,,,False,619.0,False,,False,3315.0,,3315.0,0,True,False,
A,20120101,2012,52,2012,28,ATG,Antigua and Barbuda,M,Import,0,W00,World,0,W00,World,H1,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,923621.0,False,-1,,,False,923621.0,False,,False,541046.0,,541046.0,0,False,False,
A,20120101,2012,52,2012,44,BHS,Bahamas,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1077486.0,False,-1,,,False,1077486.0,False,,False,5556350.0,,5556350.0,0,True,False,
A,20120101,2012,52,2012,48,BHR,Bahrain,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19863610.0,False,-1,,,False,19863610.0,False,,False,15691011.0,,15691011.0,0,True,False,
A,20120101,2012,52,2012,48,BHR,Bahrain,RX,Re-export,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2493492.0,False,-1,,,False,2493492.0,False,,False,,,1165644.0,0,True,False,
A,20120101,2012,52,2012,48,BHR,Bahrain,X,Export,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2493492.0,False,-1,,,False,2493492.0,False,,False,,1165644.0,1165644.0,0,True,False,
A,20120101,2012,52,2012,51,ARM,Armenia,M,Import,0,W00,World,0,W00,World,H3,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12502931.0,False,-1,,,False,12502931.0,False,,False,17513823.0,,17513823.0,0,True,False,
A,20120101,2012,52,2012,52,BRB,Barbados,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4108611.0,False,-1,,,False,4108611.0,False,,False,1510075.0,,1510075.0,0,True,False,
A,20120101,2012,52,2012,72,BWA,Botswana,DX,Domestic Export,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,451.13,False,8,kg,451.13,False,451.13,False,0.0,False,,200.244,200.244,0,False,True,
A,20120101,2012,52,2012,72,BWA,Botswana,M,Import,0,W00,World,0,W00,World,H2,HS,True,80300,"Fruit, edible; bananas, (including plantains), fresh or dried",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4637593.72,False,8,kg,4637593.72,False,4637593.72,False,0.0,False,5345582.061,,5345582.061,0,False,True,
